time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-02 00:00:00+00:00,257,59,28,21
2026-07-03 00:00:00+00:00,261,50,26,16
2026-07-04 00:00:00+00:00,332,73,52,22
2026-07-05 00:00:00+00:00,538,133,14,10
2026-07-06 00:00:00+00:00,720,151,75,33
2026-07-07 00:00:00+00:00,717,75,18,15
2026-07-08 00:00:00+00:00,201,40,10,5
2026-07-09 00:00:00+00:00,185,23,13,9
2026-07-10 00:00:00+00:00,233,53,6,5
2026-07-11 00:00:00+00:00,277,43,16,5
2026-07-12 00:00:00+00:00,58,21,8,4
2026-07-13 00:00:00+00:00,249,44,18,7
2026-07-14 00:00:00+00:00,459,77,9,8
2026-07-15 00:00:00+00:00,606,100,15,6
