time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-19 00:00:00+00:00,129,41,0,0
2026-06-20 00:00:00+00:00,251,88,0,0
2026-06-21 00:00:00+00:00,166,72,1,1
2026-06-22 00:00:00+00:00,120,46,1,1
2026-06-23 00:00:00+00:00,413,23,7,5
2026-06-24 00:00:00+00:00,250,63,5,3
2026-06-25 00:00:00+00:00,271,62,1,1
2026-06-26 00:00:00+00:00,529,107,5,2
2026-06-27 00:00:00+00:00,329,81,1,1
2026-06-28 00:00:00+00:00,250,60,4,4
2026-06-29 00:00:00+00:00,423,91,0,0
2026-06-30 00:00:00+00:00,900,161,2,1
2026-07-01 00:00:00+00:00,655,111,11,8
2026-07-02 00:00:00+00:00,257,59,28,21
2026-07-03 00:00:00+00:00,261,50,26,16
2026-07-04 00:00:00+00:00,332,73,52,22
2026-07-05 00:00:00+00:00,538,133,14,10
2026-07-06 00:00:00+00:00,720,151,75,33
2026-07-07 00:00:00+00:00,717,75,18,15
2026-07-08 00:00:00+00:00,201,40,10,5
2026-07-09 00:00:00+00:00,185,23,13,9
2026-07-10 00:00:00+00:00,233,53,6,5
2026-07-11 00:00:00+00:00,277,43,16,5
2026-07-12 00:00:00+00:00,58,21,8,4
2026-07-13 00:00:00+00:00,249,44,18,7
2026-07-14 00:00:00+00:00,459,77,9,8
2026-07-15 00:00:00+00:00,606,100,15,6
2026-07-16 00:00:00+00:00,348,52,9,8
2026-07-17 00:00:00+00:00,146,29,8,3
2026-07-18 00:00:00+00:00,75,17,4,4
2026-07-19 00:00:00+00:00,64,22,13,4
2026-07-20 00:00:00+00:00,264,55,12,9
